publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p834950,earthquake,2023-11-05T22:21:27.572Z,2023-11-06T00:15:46.674Z,172.095108,-43.19224548,2.216589712,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,34,19,6,0.139895767,63.37454033,0.3083104326,0.1230184394
2023p833621,earthquake,2023-11-05T10:33:27.517Z,2023-11-05T10:44:18.047Z,168.4281921,-44.62156296,2.484573043,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,14,5,0.2433205247,123.5819511,0.5101271435,0.2070099986
2023p833352,earthquake,2023-11-05T08:10:05.596Z,2023-11-05T08:35:36.766Z,171.0776367,-43.68579483,2.161137563,5.449800968,MLv,,LOCSAT,confirmed,manual,iasp91,20,13,2,0.03356939927,68.97863007,0.585880485,0.05476694696
2023p832813,earthquake,2023-11-05T03:23:10.235Z,2023-11-05T03:27:40.026Z,167.0010223,-45.48249435,2.240166107,54.34173965,MLv,,LOCSAT,confirmed,manual,iasp91,28,15,5,0.1087746918,152.8072205,0.7026540463,0.3496270876
2023p831660,earthquake,2023-11-04T17:08:37.415Z,2023-11-04T18:38:38.619Z,168.4374084,-44.60662842,2.446822313,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,11,8,2,0.3708567023,125.7546959,0.2904264051,0.4048562753
2023p831248,earthquake,2023-11-04T13:29:15.942Z,2023-11-04T14:02:51.431Z,172.351181,-43.60290909,2.232072102,7.696753979,MLv,,LOCSAT,confirmed,manual,iasp91,28,21,4,0.02395476773,74.89028931,0.4538351658,0.3542113374
2023p829440,earthquake,2023-11-03T21:25:56.633Z,2023-11-03T21:40:42.098Z,172.6247406,-41.23777771,2.213168076,111.1390991,MLv,,LOCSAT,confirmed,manual,iasp91,20,14,10,0.3255152702,119.7161865,0.4616830598,0.241545348
2023p828758,earthquake,2023-11-03T15:22:32.740Z,2023-11-03T15:37:37.606Z,168.4294891,-44.37882996,2.076318797,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,11,7,1,0.3985777497,169.5413551,0.5387961307,0
2023p828357,earthquake,2023-11-03T11:49:01.836Z,2023-11-03T16:02:12.287Z,172.0425415,-43.18021011,2.111629016,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,31,23,4,0.1456609964,67.07862473,0.3522481583,0.2775120872
2023p827788,earthquake,2023-11-03T06:45:30.774Z,2023-11-03T08:38:51.881Z,167.447052,-45.08625412,2.557269439,102.1830139,MLv,,LOCSAT,confirmed,manual,iasp91,24,14,5,0.4315029681,190.4009094,0.6573347616,0.3230560591
2023p825736,earthquake,2023-11-02T12:32:19.889Z,2023-11-02T12:57:57.621Z,172.7855835,-43.48201752,2.07327777,7.523574352,MLv,,LOCSAT,confirmed,manual,iasp91,21,18,5,0.04665813595,110.9881134,0.2374659608,0.1086332199
